,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,Dawlatabad,36.41,64.91,29.43,89,32,1.16,AF,1608139784
342,Severo-Yeniseyskiy,60.37,93.04,-9.94,89,97,4.72,RU,1608139784
343,Te Anau,-45.42,167.72,51.57,93,99,3.13,NZ,1608139784
344,Kabompo,-13.59,24.2,68.41,92,100,4.99,ZM,1608139784
345,Rosa Zarate,0.33,-79.47,82.02,71,81,2.95,EC,1608139784
346,Nabire,-3.37,135.48,77.27,85,100,3.49,ID,1608139785
347,Wewak,-3.55,143.63,80.19,82,100,6.73,PG,1608139785
348,Rudnogorsk,57.26,103.75,-18.51,89,67,4.63,RU,1608139785
349,Portland,45.52,-122.68,45.59,87,90,11.41,US,1608138921
350,George Town,5.41,100.34,77.65,94,20,3.36,MY,1608139739
351,Muli,2.92,73.57,82.42,70,13,8.9,MV,1608139785
352,Moussoro,13.64,16.49,81.84,15,39,10.71,TD,1608139785
353,Alofi,-19.06,-169.92,75.2,88,81,4.7,NU,1608139786
354,Camagüey,21.38,-77.92,82.4,65,40,10.29,CU,1608139786
355,Bonavista,48.65,-53.11,26.6,79,100,18.34,CA,1608139786
356,Zhongshan,21.32,110.58,55.81,58,100,7.94,CN,1608139786
357,Tolaga Bay,-38.37,178.3,59.29,72,0,5.97,NZ,1608139786
358,Vrangel',42.73,133.08,11.35,77,0,15.19,RU,1608139786
359,Mitchell,43.71,-98.03,26.6,79,20,11.41,US,1608139680
360,Mentougou,39.94,116.09,24.15,47,0,2.48,CN,1608139787
361,Sabang,5.89,95.32,80.71,78,100,9.22,ID,1608139787
362,Karpogory,64.0,44.45,22.57,98,100,5.66,RU,1608139787
363,San Policarpo,12.18,125.51,81.46,76,28,15.26,PH,1608139787
364,Omboué,-1.57,9.26,78.62,86,93,8.46,GA,1608139787
365,Kachug,53.96,105.88,-7.89,86,74,3.49,RU,1608139787
366,Durban,-29.86,31.03,71.56,78,75,3.36,ZA,1608139601
367,Nerang,-27.98,153.33,73.47,96,100,1.99,AU,1608139788
368,Boddam,57.47,-1.78,47.71,93,75,25.28,GB,1608139788
